parish_id,parish_name,municipality_id,party,votes
030515,Moreira do Castelo,0305,ADN,7
030517,Rego,0305,ADN,9
030518,Ribas,0305,ADN,7
030520,Basto (São Clemente),0305,ADN,11
030521,Vale de Bouro,0305,ADN,6
030523,"Britelo, Gémeos e Ourilhe",0305,ADN,19
030524,Caçarilhe e Infesta,0305,ADN,3
030525,Canedo de Basto e Corgo,0305,ADN,9
030526,Carvalho e Basto (Santa Tecla),0305,ADN,3
030527,"Veade, Gagos e Molares",0305,ADN,11
030601,Antas,0306,ADN,27
030608,Forjães,0306,ADN,22
030610,Gemeses,0306,ADN,8
030615,Vila Chã,0306,ADN,20
030616,Apúlia e Fão,0306,ADN,51
030617,Belinho e Mar,0306,ADN,37
030618,"Esposende, Marinhas e Gandra",0306,ADN,66
030619,Fonte Boa e Rio Tinto,0306,ADN,12
030620,Palmeira de Faro e Curvos,0306,ADN,28
030705,Armil,0307,ADN,5
030708,Estorãos,0307,ADN,19
030709,Fafe,0307,ADN,79
030712,Fornelos,0307,ADN,12
030714,Golães,0307,ADN,14
030716,Medelo,0307,ADN,10
030719,Paços,0307,ADN,4
030722,Quinchães,0307,ADN,18
030723,Regadas,0307,ADN,14
030724,Revelhe,0307,ADN,7
030725,Ribeiros,0307,ADN,2
030726,Arões (Santa Cristina),0307,ADN,14
030728,São Gens,0307,ADN,19
030729,Silvares (São Martinho),0307,ADN,6
030730,Arões (São Romão),0307,ADN,24
030733,Travassós,0307,ADN,8
030736,Vinhós,0307,ADN,2
030737,"Aboim, Felgueiras, Gontim e Pedraído",0307,ADN,7
030738,Agrela e Serafão,0307,ADN,8
030739,Antime e Silvares (São Clemente),0307,ADN,15
030740,"Ardegão, Arnozela e Seidões",0307,ADN,6
030741,Cepães e Fareja,0307,ADN,16
030742,Freitas e Vila Cova,0307,ADN,7
030743,Monte e Queimadela,0307,ADN,10
030744,Moreira do Rei e Várzea Cova,0307,ADN,16
030801,Aldão,0308,ADN,16
030804,Azurém,0308,ADN,47
030806,Barco,0308,ADN,10
030807,Brito,0308,ADN,22
030808,Caldelas,0308,ADN,26
030812,Costa,0308,ADN,20
030813,Creixomil,0308,ADN,40
030815,Fermentões,0308,ADN,32
030820,Gonça,0308,ADN,3
030821,Gondar,0308,ADN,18
030823,Guardizela,0308,ADN,9
030824,Infantas,0308,ADN,20
030827,Longos,0308,ADN,12
030828,Lordelo,0308,ADN,19
030830,Mesão Frio,0308,ADN,27
030831,Moreira de Cónegos,0308,ADN,37
030832,Nespereira,0308,ADN,14
030835,Pencelo,0308,ADN,10
030836,Pinheiro,0308,ADN,4
030837,Polvoreira,0308,ADN,22
030838,Ponte,0308,ADN,48
030840,Ronfe,0308,ADN,30
030842,Prazins (Santa Eufémia),0308,ADN,8
030850,Selho (São Cristóvão),0308,ADN,15
030854,Selho (São Jorge),0308,ADN,21
030857,Candoso (São Martinho),0308,ADN,10
030858,Sande (São Martinho),0308,ADN,14
030865,São Torcato,0308,ADN,18
030866,Serzedelo,0308,ADN,22
030868,Silvares,0308,ADN,28
030871,Urgezes,0308,ADN,27
030875,Abação e Gémeos,0308,ADN,27
030876,"Airão Santa Maria, Airão São João e Vermil",0308,ADN,22
030877,Arosa e Castelões,0308,ADN,3
030878,Atães e Rendufe,0308,ADN,28
030879,Briteiros Santo Estêvão e Donim,0308,ADN,18
030880,Briteiros São Salvador e Briteiros Santa Leocádia,0308,ADN,12
030881,Candoso São Tiago e Mascotelos,0308,ADN,27
030882,Conde e Gandarela,0308,ADN,17
030883,"Leitões, Oleiros e Figueiredo",0308,ADN,13
030884,"Oliveira, São Paio e São Sebastião",0308,ADN,35
030885,Prazins Santo Tirso e Corvite,0308,ADN,15
030886,Sande São Lourenço e Balazar,0308,ADN,4
030887,Sande Vila Nova e Sande São Clemente,0308,ADN,20
030888,Selho São Lourenço e Gominhães,0308,ADN,20
030889,Serzedo e Calvos,0308,ADN,23
030890,"Souto Santa Maria, Souto São Salvador e Gondomar",0308,ADN,10
030891,Tabuadelo e São Faustino,0308,ADN,17
030906,Covelas,0309,ADN,4
030908,Ferreiros,0309,ADN,2
030912,Galegos,0309,ADN,5
030913,Garfe,0309,ADN,8
030914,Geraz do Minho,0309,ADN,2
030915,Lanhoso,0309,ADN,4
030917,Monsul,0309,ADN,5
030919,Póvoa de Lanhoso (Nossa Senhora do Amparo),0309,ADN,30
030921,Rendufinho,0309,ADN,2
030922,Santo Emilião,0309,ADN,3
030923,São João de Rei,0309,ADN,0
030924,Serzedelo,0309,ADN,3
030925,Sobradelo da Goma,0309,ADN,4
030926,Taíde,0309,ADN,15
030927,Travassos,0309,ADN,4
030929,Vilela,0309,ADN,4
030930,Águas Santas e Moure,0309,ADN,2
030931,Calvos e Frades,0309,ADN,2
030932,Campos e Louredo,0309,ADN,14
030933,Esperança e Brunhais,0309,ADN,6
030934,Fonte Arcada e Oliveira,0309,ADN,15
030935,"Verim, Friande e Ajude",0309,ADN,3
031001,Balança,0310,ADN,6
031003,Campo do Gerês,0310,ADN,2
031004,Carvalheira,0310,ADN,3
031008,Covide,0310,ADN,8
031009,Gondoriz,0310,ADN,1
031010,Moimenta,0310,ADN,4
031012,Ribeira,0310,ADN,0
031013,Rio Caldo,0310,ADN,7
031014,Souto,0310,ADN,5
031015,Valdosende,0310,ADN,4
031017,Vilar da Veiga,0310,ADN,3
031018,Chamoim e Vilar,0310,ADN,5
031019,Chorense e Monte,0310,ADN,3
031020,Cibões e Brufe,0310,ADN,2
031105,Cantelães,0311,ADN,4
031107,Eira Vedra,0311,ADN,4
031108,Guilhofrei,0311,ADN,12
031109,Louredo,0311,ADN,0
031110,Mosteiro,0311,ADN,4
031111,Parada de Bouro,0311,ADN,2
031112,Pinheiro,0311,ADN,1
031113,Rossas,0311,ADN,4
031115,Salamonde,0311,ADN,4
031118,Tabuaças,0311,ADN,5
031120,Vieira do Minho,0311,ADN,7
031122,Anissó e Soutelo,0311,ADN,2
031123,Anjos e Vilar do Chão,0311,ADN,5
031124,Caniçada e Soengas,0311,ADN,2
031125,Ruivães e Campos,0311,ADN,3
031126,Ventosa e Cova,0311,ADN,6
031204,Bairro,0312,ADN,18
031206,Brufe,0312,ADN,11
031210,Castelões,0312,ADN,20
031212,Cruz,0312,ADN,10
031213,Delães,0312,ADN,30
031215,Fradelos,0312,ADN,23
031216,Gavião,0312,ADN,29
031219,Joane,0312,ADN,56
031221,Landim,0312,ADN,20
031223,Louro,0312,ADN,19
031224,Lousado,0312,ADN,21
031225,Mogege,0312,ADN,18
031227,Nine,0312,ADN,20
031230,Pedome,0312,ADN,18
031232,Pousada de Saramagos,0312,ADN,14
031233,Requião,0312,ADN,17
031234,Riba de Ave,0312,ADN,18
031235,Ribeirão,0312,ADN,61
031239,Oliveira (Santa Maria),0312,ADN,22
031241,Vale (São Martinho),0312,ADN,15
031242,Oliveira (São Mateus),0312,ADN,9
031247,Vermoim,0312,ADN,21
031249,Vilarinho das Cambas,0312,ADN,10
031250,Antas e Abade de Vermoim,0312,ADN,28
031251,Arnoso (Santa Maria e Santa Eulália) e Sezures,0312,ADN,34
031252,Avidos e Lagoa,0312,ADN,11
031253,Carreira e Bente,0312,ADN,10
031254,Esmeriz e Cabeçudos,0312,ADN,14
031255,"Gondifelos, Cavalões e Outiz",0312,ADN,29
031256,"Lemenhe, Mouquim e Jesufrei",0312,ADN,20
031257,Ruivães e Novais,0312,ADN,19
031258,Seide,0312,ADN,14
031259,"Vale (São Cosme), Telhado e Portela",0312,ADN,37
031260,Vila Nova de Famalicão e Calendário,0312,ADN,117
031304,Atiães,0313,ADN,2
031308,Cabanelas,0313,ADN,10
031309,Cervães,0313,ADN,9
031311,Coucieiro,0313,ADN,6
031313,Dossãos,0313,ADN,4
031316,Freiriz,0313,ADN,11
031317,Gême,0313,ADN,3
031323,Lage,0313,ADN,25
031324,Lanhas,0313,ADN,2
031325,Loureira,0313,ADN,6
031328,Moure,0313,ADN,12
031330,Oleiros,0313,ADN,6
031331,Parada de Gatim,0313,ADN,7
031335,Pico,0313,ADN,3
031337,Ponte,0313,ADN,5
031340,Sabariz,0313,ADN,6
031342,Vila de Prado,0313,ADN,27
031350,Prado (São Miguel),0313,ADN,5
031352,Soutelo,0313,ADN,10
031354,Turiz,0313,ADN,11
031355,Valdreu,0313,ADN,5
031359,Aboim da Nóbrega e Gondomar,0313,ADN,8
031360,Ribeira do Neiva,0313,ADN,37
031361,Carreiras (São Miguel) e Carreiras (Santiago),0313,ADN,7
031362,Escariz (São Mamede) e Escariz (São Martinho),0313,ADN,9
031363,"Esqueiros, Nevogilde e Travassós",0313,ADN,4
031364,Marrancos e Arcozelo,0313,ADN,13
031365,Oriz (Santa Marinha) e Oriz (São Miguel),0313,ADN,6
031366,"Pico de Regalados, Gondiães e Mós",0313,ADN,16
031367,"Sande, Vilarinho, Barros e Gomide",0313,ADN,10
031368,"Valbom (São Pedro), Passô e Valbom (São Martinho)",0313,ADN,3
031369,Vade,0313,ADN,17
031370,Vila Verde e Barbudo,0313,ADN,45
031401,Santa Eulália,0314,ADN,34
031404,Infias,0314,ADN,13
031406,Vizela (Santo Adrião),0314,ADN,15
031408,Caldas de Vizela (São Miguel e São João),0314,ADN,49
031409,Tagilde e Vizela (São Paio),0314,ADN,30
040102,Alfândega da Fé,0401,ADN,5
040103,Cerejais,0401,ADN,2
040111,Sambade,0401,ADN,3
040118,Vilar Chão,0401,ADN,2
040119,Vilarelhos,0401,ADN,3
040120,Vilares de Vilariça,0401,ADN,1
040121,"Agrobom, Saldonha e Vale Pereiro",0401,ADN,1
040122,"Eucisia, Gouveia e Valverde",0401,ADN,4
040123,Ferradosa e Sendim da Serra,0401,ADN,1
040124,Gebelim e Soeima,0401,ADN,2
040125,Parada e Sendim da Ribeira,0401,ADN,5
040126,Pombal e Vales,0401,ADN,0
040201,Alfaião,0402,ADN,2
040203,Babe,0402,ADN,3
040204,Baçal,0402,ADN,4
040206,Carragosa,0402,ADN,6
040209,Castro de Avelãs,0402,ADN,0
040210,Coelhoso,0402,ADN,5
040212,Donai,0402,ADN,6
040213,Espinhosela,0402,ADN,2
040215,França,0402,ADN,0
040216,Gimonde,0402,ADN,6
040217,Gondesende,0402,ADN,1
040218,Gostei,0402,ADN,4
040219,Grijó de Parada,0402,ADN,3
040221,Macedo do Mato,0402,ADN,7
040224,Mós,0402,ADN,1
040225,Nogueira,0402,ADN,4
040226,Outeiro,0402,ADN,0
040229,Parâmio,0402,ADN,3
040230,Pinela,0402,ADN,7
040232,Quintanilha,0402,ADN,0
040233,Quintela de Lampaças,0402,ADN,3
040234,Rabal,0402,ADN,1
040236,Rebordãos,0402,ADN,8
040239,Salsas,0402,ADN,2
040240,Samil,0402,ADN,6
040241,Santa Comba de Rossas,0402,ADN,0
040244,São Pedro de Sarracenos,0402,ADN,4
040246,Sendas,0402,ADN,3
040247,Serapicos,0402,ADN,1
040248,Sortes,0402,ADN,1
040249,Zoio,0402,ADN,2
040250,Aveleda e Rio de Onor,0402,ADN,0
040251,Castrelos e Carrazedo,0402,ADN,2
040252,"Izeda, Calvelhe e Paradinha Nova",0402,ADN,9
040253,Parada e Faílde,0402,ADN,12
040254,Rebordainhos e Pombares,0402,ADN,1
040255,Rio Frio e Milhão,0402,ADN,2
040256,São Julião de Palácios e Deilão,0402,ADN,3
040257,"Sé, Santa Maria e Meixedo",0402,ADN,117
040304,Carrazeda de Ansiães,0403,ADN,12
040306,Fonte Longa,0403,ADN,3
040308,Linhares,0403,ADN,5
040309,Marzagão,0403,ADN,2
040311,Parambos,0403,ADN,3
040312,Pereiros,0403,ADN,3
040313,Pinhal do Norte,0403,ADN,2
040314,Pombal,0403,ADN,4
040316,Seixo de Ansiães,0403,ADN,4
040318,Vilarinho da Castanheira,0403,ADN,9
040320,Amedo e Zedes,0403,ADN,5
040321,Belver e Mogo de Malta,0403,ADN,1
040322,Castanheiro do Norte e Ribalonga,0403,ADN,5
040323,"Lavandeira, Beira Grande e Selores",0403,ADN,3
040404,Ligares,0404,ADN,4
